Da,"Radius of gyration, Å"
12640,14.8
13700,14.8
17000,14.8
13300,14.5
14180,16.7
16300,16.7
17400,16.7
13930,14.3
14400,15.2
17200,15.2
16000,15.3
16890,16
17500,16
17000,16.3
17900,16.3
17500,18
21600,18
25000,18
23000,17.2
23600,17.2
24100,75
31000,18.3
22000,18.1
23240,18.1
38000,18.1
32500,20.6
35000,20.6
32500,19.8
33800,19.8
32700,20.5
34160,20.5
35500,20.5
37000,20.5
39200,20.5
35400,20.8
36730,21.6
38000,21.6
41400,21.6
41700,40.5
44000,20.3
45000,24
45000,24
46800,23.3
63000,24.8
64500,24.8
67000,24.8
68000,24.8
66700,23
68000,24.5
65400,29.8
66000,29.8
66300,30.6
67000,29.8
69200,29.8
67000,29.8
99000,24.73
102000,24.73
120000,222
138000,37.5
138320,34.7
141000,32.1
142870,32.1
144700,32.1
142000,34.6
145520,31.7
146940,34.4
160000,32.5
156000,46
161000,46
153000,70
156000,70
162000,70
170000,70
176000,70
173000,43
174000,43
163000,39.6
185000,39.6
188000,39.6
170000,39.6
187000,39.6
190800,43.5
194000,43.5
192160,42.5
245000,33.6
225000,39.8
232000,39.8
248000,39.8
250000,39.8
240000,40.4
270000,42.6
270000,47
312000,47
343000,47
310000,49.6
324000,49.6
330000,49.8
345000,870
340000,142
340000,142
385000,142
390000,142
390000,142
320000,51.5
330000,51.5
340000,51.5
355000,49
323000,47
360000,60.3
370000,50.2
370000,50.2
441000,51.7
460000,51.7
467000,51.7
493000,468
570000,468
594000,468
630000,64
650000,64
660000,64
770000,61.7
840000,61.7
960000,61.7
854000,69
854000,69
820000,63.7
985000,63.5
700000,59
870000,69
900000,71.4
1000000,72
1200000,135
1500000,78
1550000,78
1580000,77
1800000,78
1800000,84
1700000,68
1970000,68
2150000,398
2200000,108
2300000,108
3000000,125
3013000,108
3100000,109.2
3500000,109.2
3500000,127
3770000,127
3600000,117
3660000,117
3600000,128
3700000,106.8
4190000,128
3780000,156.5
4800000,156.5
4000000,135
4300000,1.35
4400000,135
4400000,108
4700000,108
5400000,108
4750000,117
4850000,117
5000000,117
5200000,117
5600000,117
4000000,1170
5000000,1170
6000000,1170
4970000,108
5000000,108.4
5530000,111
6000000,108.4
7400000,119
6600000,110.8
6602000,111
6630000,115
6820000,216
6860000,216
6920000,216
7400000,216
8905000,164
8910000,164
9000000,164
10700000,120
17000000,285
18000000,235
21000000,305
22000000,222
45000000,250
56000000,250
31000000,924
39000000,924
39000000,924
40000000,924
40590000,924
40700000,924
50000000,924
